machine_name,model_name,board_name,lot_number,model_code,default_date,volume,rest_volume,line_code,productions,divisions_volume
GC04,CN-SNDCJ1CJ,412ALCD集合,1199110-20,Y8470668R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 6, 0, 0): 155, datetime.datetime(2025, 10, 7, 0, 0): 325}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1199111-10,Y8470668R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 7, 0, 0): 480}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1199111-20,Y8470668R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 7, 0, 0): 280, datetime.datetime(2025, 10, 8, 0, 0): 200}",1
GC04,APRESIA13200-48X-PSR3,MAIN集合,1198243-10,Y8470686M,2025-10-06,52.0,0,GC01,"{datetime.datetime(2025, 10, 8, 0, 0): 52}",1
GC04,APRESIA13200-48X-PSR3,MAIN集合,1198243-20,Y8470686M,2025-10-06,52.0,0,GC01,"{datetime.datetime(2025, 10, 8, 0, 0): 52}",1
GC04,BMS-BOX GEN3.0,BMS,1198690-10,Y8470781R,2025-09-24,192.0,0,GT06,"{datetime.datetime(2025, 10, 8, 0, 0): 117}",1
GC04,BMS-BOX GEN3.0,BMS,1198690-20,Y8470781R,2025-09-24,192.0,0,GT06,"{datetime.datetime(2025, 10, 8, 0, 0): 45, datetime.datetime(2025, 10, 9, 0, 0): 72}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1199112-10,Y8470668R,2025-10-08,480.0,0,GC03,"{datetime.datetime(2025, 10, 9, 0, 0): 480}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1199112-20,Y8470668R,2025-10-08,480.0,0,GC03,"{datetime.datetime(2025, 10, 9, 0, 0): 395, datetime.datetime(2025, 10, 10, 0, 0): 85}",1
GC04,GMC-2101,MAIN集合,1198247-10,Y8469149M,2025-10-09,24.0,0,GC01,"{datetime.datetime(2025, 10, 10, 0, 0): 24}",6
GC04,GMC-2101,MAIN集合,1198247-20,Y8469149M,2025-10-09,24.0,0,GC01,"{datetime.datetime(2025, 10, 10, 0, 0): 24}",6
GC04,NS-2250-48D,DDC集合,1198784-10,Y8469749R,2025-10-09,50.0,0,GC16,"{datetime.datetime(2025, 10, 10, 0, 0): 50}",3
GC04,NS-2250-48D,DDC集合,1198784-20,Y8469749R,2025-10-09,50.0,0,GC16,"{datetime.datetime(2025, 10, 10, 0, 0): 50}",3
GC04,XGMC-2101X-DC48V/PSR(N),MAIN集合,1198608-10,Y8470622M,2025-10-15,2.0,0,GC01,"{datetime.datetime(2025, 10, 15, 0, 0): 2}",2
GC04,XGMC-2101X-DC48V/PSR(N),MAIN集合,1198613-10,Y8470622M,2025-10-15,48.0,0,GC01,"{datetime.datetime(2025, 10, 15, 0, 0): 48}",2
GC04,XGMC-2101X-DC48V/PSR(N),MAIN集合,1198608-20,Y8470622M,2025-10-15,2.0,0,GC01,"{datetime.datetime(2025, 10, 15, 0, 0): 2}",2
GC04,XGMC-2101X-DC48V/PSR(N),MAIN集合,1198613-20,Y8470622M,2025-10-15,48.0,0,GC01,"{datetime.datetime(2025, 10, 15, 0, 0): 48}",2
GC04,GMC-2001,MAIN集合,1198250-10,Y8468908M,2025-10-15,48.0,0,GC01,"{datetime.datetime(2025, 10, 15, 0, 0): 48}",3
GC04,GMC-2001,MAIN集合,1198250-20,Y8468908M,2025-10-15,48.0,0,GC01,"{datetime.datetime(2025, 10, 15, 0, 0): 48}",3
GC05,FH1682B0F,MAIN集合,1198389-10,Y8469888RA,2025-09-18,360.0,0,GC20,"{datetime.datetime(2025, 9, 26, 0, 0): 42}",2
GC05,FH1682B0F,MAIN集合,1198389-20,Y8469888RA,2025-09-18,360.0,0,GC20,"{datetime.datetime(2025, 9, 26, 0, 0): 42}",2
GC05,CN-SNDDJ0CJ,411CNAVI,1198983-10,Y8470722R,2025-09-29,480.0,0,GC03,"{datetime.datetime(2025, 9, 29, 0, 0): 480}",1
GC05,CN-SNDDJ0CJ,411CNAVI,1198984-10,Y8470722R,2025-09-29,480.0,0,GC03,"{datetime.datetime(2025, 9, 30, 0, 0): 480}",1
GC05,CN-SNDDJ0CJ,411CNAVI,1198985-10,Y8470722R,2025-10-01,220.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 220}",1
GC05,CN-SNDDJ0CJ,411CNAVI,1198986-10,Y8470722R,2025-10-01,261.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 261}",1
GC05,CN-SNDDJ0CJ,411CNAVI,1198987-10,Y8470722R,2025-10-01,480.0,0,GC03,"{datetime.datetime(2025, 10, 2, 0, 0): 480}",1
GC05,FH1622A0F,MAIN,1198891-10,Y8469892R,2025-10-02,240.0,0,GC20,"{datetime.datetime(2025, 10, 2, 0, 0): 240}",1
GC05,FH1212C0F,MAIN集合,1198917-10,Y8469909R,2025-10-02,100.0,0,GC20,"{datetime.datetime(2025, 10, 2, 0, 0): 100}",2
GC05,FH1212C0F,MAIN集合,1198917-20,Y8469909R,2025-10-02,100.0,0,GC20,"{datetime.datetime(2025, 10, 2, 0, 0): 100}",2
GC05,CN-SNDDJ0CJ,411CNAVI,1199105-10,Y8470722R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 3, 0, 0): 480}",1
GC05,CN-SNDDJ0CJ,411CNAVI,1199106-10,Y8470722R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 6, 0, 0): 480}",1
GC05,CN-SNDDJ0CJ,411CNAVI,1199107-10,Y8470722R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 7, 0, 0): 480}",1
GC05,CN-SNDDJ0CJ,411CNAVI,1199108-10,Y8470722R,2025-10-08,480.0,0,GC03,"{datetime.datetime(2025, 10, 8, 0, 0): 480}",1
GC05,FH1622A0F,MAIN,1198898-10,Y8469892R,2025-10-09,260.0,0,GC20,"{datetime.datetime(2025, 10, 9, 0, 0): 260}",1
GC05,CN-SNDDJ0CJ,411CNAVI,1199105-20,Y8470722R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 3, 0, 0): 480}",1
GC05,CN-SNDDJ0CJ,411CNAVI,1199106-20,Y8470722R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 3, 0, 0): 480}",1
GC05,CN-SNDDJ0CJ,411CNAVI,1199107-20,Y8470722R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 3, 0, 0): 480}",1
GC05,CN-SNDDJ0CJ,411CNAVI,1199108-20,Y8470722R,2025-10-08,480.0,0,GC03,"{datetime.datetime(2025, 10, 8, 0, 0): 480}",1
GC05,CN-SNDFJ0CJ,411CNAVI,1198625-10,Y8470722R,2025-10-09,480.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 5}",1
GC05,CN-SNDFJ0CJ,771ANAVI,1198625-20,Y8470813R,2025-10-09,5.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 5}",1
