品 目 名 称,,指図－工程,,基 準,前 月 累 計,日付,2025-09-26 00:00:00,2025-09-27 00:00:00,2025-09-28 00:00:00,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-10-01 00:00:00,2025-10-02 00:00:00,2025-10-03 00:00:00,2025-10-04 00:00:00,2025-10-05 00:00:00,2025-10-06 00:00:00,2025-10-07 00:00:00,2025-10-08 00:00:00,2025-10-09 00:00:00,2025-10-10 00:00:00,2025-10-11 00:00:00,2025-10-12 00:00:00,2025-10-13 00:00:00,2025-10-14 00:00:00,2025-10-15 00:00:00,2025-10-16 00:00:00,2025-10-17 00:00:00,2025-10-18 00:00:00,ＣＨＩＰ本数,異形　本数,総本数,,,タクト/　　　台　　　(ｓｅｃ）,稼働率(%),,前工程,,切替,取数,
CN-SNDCJ1CJ,3.0,1199111-20,,2025-10-03 00:00:00,,GC03,,,,,,,,,,,,280,200,,,,,,,,,,,200,35,C.,96000.0,,45,0.8,,GC04,,1,1,0.0
412ALCD集合/REFRS,,Y8470668R,,,480,,,,,,,,,,,,,,5.375,3.125,,,,,,●15ASSY,,,,,,E.,16800.0,,,64,台/H,,,,25,
APRESIA13200-48X-PSR3,,1198243-10,,2025-10-06 00:00:00,,GC01,,,,,,,,,,,,,52,,,,,,,,,,,1997,32,C.,103844.0,,145,0.8,,-,,1,1,0.0
MAIN集合/REFB,,Y8470686M,,,52,10/2→10/6,,,,,,,,,,,,,,3.6180555555555554,▲10MT●15ASSY(0),,,,,,,,,,,E.,1664.0,,,19.862068965517242,台/H,GC04,,,17,
APRESIA13200-48X-PSR3,,1198243-20,,2025-10-06 00:00:00,,GC01,,,,,,,,,,,,,52,,,,,,,,,,,1697,161,C.,88244.0,,157,0.8,,GC04,,1,1,0.0
MAIN集合/REFA,,Y8470686M,,,52,L91768C  IC BCM54680B0KFBG　2pcs不足　 10/7入+24ｈベーキング,,,,,,,,,,,,,,3.834722222222222,,,,,,,,,,,,E.,8372.0,,,18.343949044585987,台/H,,,,17,
BMS-BOX GEN3.0,,1198690-10,,2025-09-24 00:00:00,75,GT06,,,,,,,,,,,,,117,,,,,,,,,,,309,2,C.,59328.0,,40,0.8,,-,,0.75,1,-75.0
BMS/REFB,,Y8470781R,,,192,LB05-A2502 ﾌｫﾄﾓｽ ﾘﾚｰ AQY212EHA 再テーピングまち　部揃未定,,,,,,,,,,,,仕掛,,2.375,▲10MT(3),,,,,,,,,,,E.,384.0,,,72,台/H,GC04,,,10,
BMS-BOX GEN3.0,,1198690-20,,2025-09-24 00:00:00,75,GT06,,,,,,,,,,,,,45,72,,,,,,,,,,656,53,C.,125952.0,,150,0.8,,GC04,,0.75,1,-75.0
BMS/REFA,,Y8470781R,,,192,,,,,,,,,,,,,仕掛,,3.0937499999999996,3.7499999999999996,,,,,,,,,,,E.,10176.0,,,19.200000000000003,台/H,B14,,,10,
CN-SNDCJ1CJ,8.0,1199112-10,,2025-10-08 00:00:00,,GC03,,,,,,,,,,,,,,480,,,,,,,,,,14,3,C.,6720.0,,35,0.88,,-,,0.25,1,0.0
412ALCD集合/REFRR,,Y8470668R,,,480,,,,,,,,,,,,,,,,5.553030303030303,,,,,,●16ASSY,,,,,E.,1440.0,,,90.51428571428572,台/H,GC04,,,25,
CN-SNDCJ1CJ,8.0,1199112-20,,2025-10-08 00:00:00,,GC03,,,,,,,,,,,,,,395,85,,,,,,,,,200,35,C.,96000.0,,45,0.8,,GC04,,0.5,1,0.0
