,品 目 名 称,,指図－工程,,基 準,前 月 累 計,日付,2025-09-26 00:00:00,2025-09-27 00:00:00,2025-09-28 00:00:00,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-10-01 00:00:00,2025-10-02 00:00:00,2025-10-03 00:00:00,2025-10-04 00:00:00,2025-10-05 00:00:00,2025-10-06 00:00:00,2025-10-07 00:00:00,2025-10-08 00:00:00,2025-10-09 00:00:00,2025-10-10 00:00:00,2025-10-11 00:00:00,2025-10-12 00:00:00,2025-10-13 00:00:00,2025-10-14 00:00:00,2025-10-15 00:00:00,2025-10-16 00:00:00,2025-10-17 00:00:00,2025-10-18 00:00:00,ＣＨＩＰ本数,異形　本数,総本数,,,タクト/　　　台　　　(ｓｅｃ）,稼働率(%),,前工程,,切替,取数,
50,CI-1200A-A,,1191504-10,,2024-12-20 00:00:00,,GC04,,,,,,,,,,,,,,,100,,,,,,,,,123,11,C.,12300.0,,28,0.8,,-,,0.75,2,
51,MAIN集合/REFB,,Y8470005R,,,100,,,,,,,,,,,,,,,,,1.722222222222222,,,▲24MT●25ASSY(1),,,,,,,E.,1100.0,,,102.85714285714288,台/H,GC09,,,5,
52,CI-1200A-A,,1191504-20,,2024-12-20 00:00:00,,GC04,,,,,,,,,,,,,,,100,,,,,,,,,70,10,C.,7000.0,,41.5,0.8,,GC09,,0.75,2,
53,MAIN集合/REFA,,Y8470005R,,,100,次回所要なし,,,,,,,,,,,,,,,,2.1909722222222223,,,,,,,,,,E.,1000.0,,,69.39759036144578,台/H,MT16,,,5,
54,CI-1300A-A,,1198378-10,,2025-09-19 00:00:00,,GC04,,,,,,200,,,,,,,,,,,,,,,,,,61,7,C.,12200.0,,20.5,0.8,,-,,0.75,2,
55,MAIN集合/REFB,,Y8470009R,,,200,,,,,,,,2.1736111111111107,,,▲24MT●25ASSY(1),,,,,,,,,,,,,,,,E.,1400.0,,,140.4878048780488,台/H,GC09,,,50,
56,CI-1300A-A,,1198378-20,,2025-09-19 00:00:00,,GC04,,,,,,200,,,,,,,,,,,,,,,,,,55,8,C.,11000.0,,34,0.8,,GC09,,0.75,2,
57,MAIN集合/REFA,,Y8470009R,,,200,,,,,,,,3.111111111111111,,,,,,,,,,,,,,,,,,,E.,1600.0,,,84.70588235294117,台/H,MT16,,,50,
58,CI-1300A-A,,-10,,2026-03-23 00:00:00,,GC04,,,,,,150,,,,,,,,,,,,,,,,,,61,7,C.,9150.0,,20.5,0.8,,-,,0.75,2,
59,MAIN集合/REFB,,Y8470009R,,,150,,,,,,,,1.8177083333333333,,,,,,,,,,,,,,,,,,,E.,1050.0,,,140.4878048780488,台/H,GC09,,,50,
60,CI-1300A-A,,-20,,2026-03-23 00:00:00,,GC04,,,,,,150,,,,,,,,,,,,,,,,,,55,8,C.,8250.0,,34,0.8,,GC09,,0.75,2,
61,MAIN集合/REFA,,Y8470009R,,,150,,,,,,,,2.5208333333333335,,,,,,,,,,,,,,,,,,,E.,1200.0,,,84.70588235294117,台/H,MT16,,,50,
62,CI-1300A-A,,-10,,2026-05-22 00:00:00,,GC04,,,,,,150,,,,,,,,,,,,,,,,,,61,7,C.,9150.0,,20.5,0.8,,-,,0.75,2,
63,MAIN集合/REFB,,Y8470009R,,,150,,,,,,,,1.8177083333333333,,,,,,,,,,,,,,,,,,,E.,1050.0,,,140.4878048780488,台/H,GC09,,,50,
64,CI-1300A-A,,-20,,2026-05-22 00:00:00,,GC04,,,,,,150,,,,,,,,,,,,,,,,,,55,8,C.,8250.0,,34,0.8,,GC09,,0.75,2,
65,MAIN集合/REFA,,Y8470009R,,,150,,,,,,,,2.5208333333333335,,,,,,,,,,,,,,,,,,,E.,1200.0,,,84.70588235294117,台/H,MT16,,,50,
66,CI-1310A-A,,-10,,2026-05-22 00:00:00,,GC04,,,,,,100,,,,,,,,,,,,,,,,,,59,9,C.,17700.0,,25,0.8,,-,,0.75,2,
67,MAIN集合/REFB,,Y8470011R,,,100,,,,,,,,1.6180555555555556,,,,,,,,,,,,,,,,,,,E.,2700.0,,,115.2,台/H,GC09,,,50,
68,CI-1310A-A,,-20,,2026-05-22 00:00:00,,GC04,,,,,,100,,,,,,,,,,,,,,,,,,59,8,C.,17700.0,,34,0.8,,GC09,,0.75,2,
69,MAIN集合/REFA,,Y8470011R,,,100,,,,,,,,1.9305555555555556,,,,,,,,,,,,,,,,,,,E.,2400.0,,,84.70588235294117,台/H,MT16,,,50,
70,EA-2406A-A,,1198695-10,,2025-10-20 00:00:00,,GC04,,,,,,,,,,60,,,,,,,,,,,,,,209,0,C.,12540.0,,34,0.8,,-,,0.75,1,
71,MAIN/REFB,,Y8469665R,,,60,,,,,,,,,,,,1.4583333333333335,,,▲22MT●23ASSY（1）,,,,,,,,,,,,E.,0.0,,,84.70588235294117,台/H,GC09,,,25,
72,EA-2406A-A,,1198695-20,,2025-10-20 00:00:00,,GC04,,,,,,,,,,60,,,,,,,,,,,,,,647,0,C.,38820.0,,99,0.8,,GC09,,0.75,1,
73,MAIN/REFA,,Y8469665R,,,60,,,,,,,,,,,,2.8125,,,,,,,,,,,,,,,E.,0.0,,,29.090909090909093,台/H,MT15,,,25,
74,EA-2406A-A,,-10,,2025-12-02 00:00:00,,GC04,,,,,,,,,,40,,,,,,,,,,,,,,209,0,C.,8360.0,,34,0.8,,-,,0.75,1,
75,MAIN/REFB,,Y8469665R,,,40,,,,,,,,,,,,1.2222222222222223,,,,,,,,,,,,,,,E.,0.0,,,84.70588235294117,台/H,GC09,,,25,
76,EA-2406A-A,,-20,,2025-12-02 00:00:00,,GC04,,,,,,,,,,40,,,,,,,,,,,,,,647,0,C.,25880.0,,99,0.8,,GC09,,0.75,1,
77,MAIN/REFA,,Y8469665R,,,40,,,,,,,,,,,,2.125,,,,,,,,,,,,,,,E.,0.0,,,29.090909090909093,台/H,MT15,,,25,
78,EA-2406A-A,,-10,,2026-04-02 00:00:00,,GC04,,,,,,,,,,150,,,,,,,,,,,,,,209,0,C.,31350.0,,34,0.8,,-,,0.75,1,
79,MAIN/REFB,,Y8469665R,,,150,,,,,,,,,,,,2.5208333333333335,,,,,,,,,,,,,,,E.,0.0,,,84.70588235294117,台/H,GC09,,,25,
80,EA-2406A-A,,-20,,2026-04-02 00:00:00,,GC04,,,,,,,,,,150,,,,,,,,,,,,,,647,0,C.,97050.0,,99,0.8,,GC09,,0.75,1,
81,MAIN/REFA,,Y8469665R,,,150,,,,,,,,,,,,5.906249999999999,,,,,,,,,,,,,,,E.,0.0,,,29.090909090909093,台/H,MT15,,,25,
82,FVA-U3SX,,-10,,2025-10-30 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,62,6,C.,74400.0,,13,0.8,,-,,0.75,6,
83,MAIN集合/REFB,,Y8469758RA,,,1200,,,,,6.166666666666666,,,,,,,,,,,,,,,,,,,,,,E.,7200.0,,,221.53846153846155,台/H,GC09,,,150,
84,FVA-U3SX,,-20,,2025-10-30 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,57,3,C.,68400.0,,9,0.8,,GC09,,0.75,6,
85,MAIN集合/REFA,,Y8469758RA,,,1200,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,E.,3600.0,,,320,台/H,MT32,,,150,
86,FVA-U3SX,,-10,,2025-11-11 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,62,6,C.,74400.0,,13,0.8,,-,,0.75,6,
87,MAIN集合/REFB,,Y8469758RA,,,1200,,,,,6.166666666666666,,,,,,,,,,,,,,,,,,,,,,E.,7200.0,,,221.53846153846155,台/H,GC09,,,150,
88,FVA-U3SX,,-20,,2025-11-11 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,57,3,C.,68400.0,,9,0.8,,GC09,,0.75,6,
89,MAIN集合/REFA,,Y8469758RA,,,1200,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,E.,3600.0,,,320,台/H,MT32,,,150,
90,FVA-U3SX,,-10,,2025-11-18 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,62,6,C.,74400.0,,13,0.8,,-,,0.75,6,
91,MAIN集合/REFB,,Y8469758RA,,,1200,,,,,6.166666666666666,,,,,,,,,,,,,,,,,,,,,,E.,7200.0,,,221.53846153846155,台/H,GC09,,,150,
92,FVA-U3SX,,-20,,2025-11-18 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,57,3,C.,68400.0,,9,0.8,,GC09,,0.75,6,
93,MAIN集合/REFA,,Y8469758RA,,,1200,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,E.,3600.0,,,320,台/H,MT32,,,150,
94,FVA-U3SX,,-10,,2025-11-26 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,62,6,C.,74400.0,,13,0.8,,-,,0.75,6,
95,MAIN集合/REFB,,Y8469758RA,,,1200,,,,,6.166666666666666,,,,,,,,,,,,,,,,,,,,,,E.,7200.0,,,221.53846153846155,台/H,GC09,,,150,
96,FVA-U3SX,,-20,,2025-11-26 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,57,3,C.,68400.0,,9,0.8,,GC09,,0.75,6,
97,MAIN集合/REFA,,Y8469758RA,,,1200,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,E.,3600.0,,,320,台/H,MT32,,,150,
98,FVA-U3SX,,-10,,2025-12-03 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,62,6,C.,74400.0,,13,0.8,,-,,0.75,6,
99,MAIN集合/REFB,,Y8469758RA,,,1200,,,,,6.166666666666666,,,,,,,,,,,,,,,,,,,,,,E.,7200.0,,,221.53846153846155,台/H,GC09,,,150,
100,FVA-U3SX,,-20,,2025-12-03 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,57,3,C.,68400.0,,9,0.8,,GC09,,0.75,6,
101,MAIN集合/REFA,,Y8469758RA,,,1200,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,E.,3600.0,,,320,台/H,MT32,,,150,
102,FVA-U3SX,,-10,,2025-12-10 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,62,6,C.,74400.0,,13,0.8,,-,,0.75,6,
103,MAIN集合/REFB,,Y8469758RA,,,1200,,,,,6.166666666666666,,,,,,,,,,,,,,,,,,,,,,E.,7200.0,,,221.53846153846155,台/H,GC09,,,150,
104,FVA-U3SX,,-20,,2025-12-10 00:00:00,,GC12,,,1200,,,,,,,,,,,,,,,,,,,,,57,3,C.,68400.0,,9,0.8,,GC09,,0.75,6,
105,MAIN集合/REFA,,Y8469758RA,,,1200,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,E.,3600.0,,,320,台/H,MT32,,,150,
106,CCDC0014,,-10,,2026-04-02 00:00:00,,GT25,,,24,,,,,,,,,,,,,,,,,,,,,206,44,C.,4944.0,,27.5,0.8,,-,,0.75,8,
107,MAIN集合/REFB,,Y8469536R,,,24,,,,,0.9791666666666666,,,,,,,,,,,,,,,,,,,,,,E.,1056.0,,,104.72727272727273,台/H,GC09,,,200,
108,CCDC0014,,-20,,2026-04-02 00:00:00,,GT25,,,24,,,,,,,,,,,,,,,,,,,,,160,68,C.,3840.0,,26,0.8,,GC09,,0.75,8,
